original_code,code,code_level,sector,borderline
1.45,145,4,NA,NA
1.46,146,4,NA,NA
1.47,147,4,NA,NA
1.49,149,4,NA,NA
NA,15,NA,NA,NA
NA,150,NA,NA,NA
15.1,151,3,NA,NA
15.11,1511,4,NA,NA
15.12,1512,4,NA,NA
15.2,152,4,NA,NA
NA,1520,NA,NA,NA
NA,16,NA,NA,NA
NA,161,NA,NA,NA
NA,1610,NA,NA,NA
NA,162,NA,NA,NA
16.21,1621,4,NA,NA
16.22,1622,4,NA,NA
16.23,1623,4,NA,NA
16.24,1624,4,NA,NA
16.29,1629,4,NA,NA
1.63,163,4,NA,NA
1.64,164,4,NA,NA
NA,17,NA,NA,NA
NA,170,NA,NA,NA
17.1,171,3,NA,NA
17.11,1711,4,NA,NA
17.12,1712,4,NA,NA
17.2,172,3,NA,NA
17.21,1721,4,NA,NA
17.22,1722,4,NA,NA
17.23,1723,4,NA,NA
17.24,1724,4,NA,NA
17.29,1729,4,NA,NA
18,18,2,NA,NA
18.1,181,3,NA,NA
18.11,1811,4,NA,NA
18.12,1812,4,NA,NA
18.13,1813,4,NA,NA
18.14,1814,4,NA,NA
18.2,182,3,NA,NA
NA,1820,NA,NA,NA
2,2,2,NA,NA
20,20,2,NA,NA
20.1,201,3,NA,NA
20.11,2011,4,NA,NA
20.12,2012,4,NA,NA
20.13,2013,4,NA,NA
20.15,2015,4,NA,NA
20.16,2016,4,NA,NA
20.17,2017,4,NA,NA
NA,202,NA,NA,NA
NA,2020,NA,NA,NA
NA,203,NA,NA,NA
NA,2030,NA,NA,NA
20.4,204,3,NA,NA
20.41,2041,4,NA,NA
20.42,2042,4,NA,NA
20.5,205,3,NA,NA
20.51,2051,4,NA,NA
20.52,2052,4,NA,NA
20.53,2053,4,NA,NA
20.59,2059,4,NA,NA
20.6,206,4,NA,NA
NA,2060,NA,NA,NA
NA,21,NA,NA,NA
NA,210,NA,NA,NA
21.1,211,4,NA,NA
NA,2110,NA,NA,NA
21.2,212,3,NA,NA
NA,2120,NA,NA,NA
NA,22,NA,NA,NA
NA,220,NA,NA,NA
22.1,221,3,NA,NA
22.11,2211,4,NA,NA
22.19,2219,4,NA,NA
22.2,222,3,NA,NA
22.21,2221,4,NA,NA
22.22,2222,4,NA,NA
22.23,2223,4,NA,NA
22.29,2229,4,NA,NA
2.3,23,4,NA,NA
NA,230,NA,NA,NA
23.1,231,3,NA,NA
23.11,2311,4,NA,NA
23.12,2312,4,NA,NA
23.13,2313,4,NA,NA
23.14,2314,4,NA,NA
23.19,2319,4,NA,NA
23.2,232,4,NA,NA
NA,2320,NA,NA,NA
23.3,233,3,NA,NA
23.31,2331,4,NA,NA
23.32,2332,4,NA,NA
23.4,234,3,NA,NA
23.41,2341,4,NA,NA
23.42,2342,4,NA,NA
23.43,2343,4,NA,NA
23.44,2344,4,NA,NA
23.49,2349,4,NA,NA
23.7,237,4,NA,NA
NA,2370,NA,NA,NA
23.9,239,3,NA,NA
23.91,2391,4,NA,NA
23.99,2399,4,NA,NA
NA,240,NA,NA,NA
24.46,2446,4,NA,NA
24.54,2454,4,NA,NA
25.12,2512,4,NA,NA
25.2,252,3,NA,NA
25.21,2521,4,NA,NA
25.29,2529,4,NA,NA
25.3,253,4,NA,NA
NA,2530,NA,NA,NA
25.4,254,3,NA,NA
NA,2540,NA,NA,NA
25.5,255,4,NA,NA
NA,2550,NA,NA,NA
25.62,2562,4,NA,NA
25.7,257,3,NA,NA
25.71,2571,4,NA,NA
25.72,2572,4,NA,NA
25.73,2573,4,NA,NA
25.9,259,3,NA,NA
25.91,2591,4,NA,NA
25.92,2592,4,NA,NA
25.93,2593,4,NA,NA
25.94,2594,4,NA,NA
25.99,2599,4,NA,NA
26,26,2,NA,NA
26.1,261,3,NA,NA
26.11,2611,4,NA,NA
26.12,2612,4,NA,NA
26.2,262,4,NA,NA
NA,2620,NA,NA,NA
26.3,263,4,NA,NA
NA,2630,NA,NA,NA
26.4,264,4,NA,NA
NA,2640,NA,NA,NA
26.5,265,3,NA,NA
26.51,2651,4,NA,NA
26.52,2652,4,NA,NA
26.6,266,4,NA,NA
NA,2660,NA,NA,NA
26.7,267,4,NA,NA
NA,2670,NA,NA,NA
26.8,268,4,NA,NA
NA,2680,NA,NA,NA
27.1,271,3,NA,NA
27.11,2711,4,NA,NA
27.2,272,4,NA,NA
NA,2720,NA,NA,NA
27.3,273,3,NA,NA
27.31,2731,4,NA,NA
27.32,2732,4,NA,NA
27.33,2733,4,NA,NA
27.4,274,4,NA,NA
NA,2740,NA,NA,NA
27.5,275,3,NA,NA
27.51,2751,4,NA,NA
27.52,2752,4,NA,NA
27.9,279,4,NA,NA
NA,2790,NA,NA,NA
28,28,2,NA,NA
28.1,281,3,NA,NA
28.11,2811,4,NA,NA
28.12,2812,4,NA,NA
28.13,2813,4,NA,NA
28.14,2814,4,NA,NA
28.2,282,3,NA,NA
28.21,2821,4,NA,NA
28.22,2822,4,NA,NA
28.23,2823,4,NA,NA
28.25,2825,4,NA,NA
28.29,2829,4,NA,NA
28.3,283,4,NA,NA
NA,2830,NA,NA,NA
28.4,284,3,NA,NA
28.41,2841,4,NA,NA
28.49,2849,4,NA,NA
28.9,289,3,NA,NA
28.91,2891,4,NA,NA
28.92,2892,4,NA,NA
28.93,2893,4,NA,NA
28.94,2894,4,NA,NA
28.95,2895,4,NA,NA
28.96,2896,4,NA,NA
28.99,2899,4,NA,NA
3,3,2,NA,NA
30,30,2,NA,NA
30.2,302,4,NA,NA
NA,3020,NA,NA,NA
30.4,304,4,NA,NA
NA,3040,NA,NA,NA
30.9,309,3,NA,NA
30.91,3091,4,NA,NA
30.92,3092,4,NA,NA
30.99,3099,4,NA,NA
NA,31,NA,NA,NA
31.01,3101,4,NA,NA
31.02,3102,4,NA,NA
31.03,3103,4,NA,NA
31.09,3109,4,NA,NA
3.11,311,4,NA,NA
3.12,312,4,NA,NA
3.2,32,3,NA,NA
NA,321,NA,NA,NA
32.11,3211,4,NA,NA
32.12,3212,4,NA,NA
32.13,3213,4,NA,NA
NA,322,NA,NA,NA
NA,3220,NA,NA,NA
32.3,323,4,NA,NA
NA,3230,NA,NA,NA
32.4,324,4,NA,NA
NA,3240,NA,NA,NA
32.5,325,4,NA,NA
NA,3250,NA,NA,NA
NA,329,NA,NA,NA
32.91,3291,4,NA,NA
32.99,3299,4,NA,NA
33,33,2,NA,NA
33.12,3312,4,NA,NA
33.13,3313,4,NA,NA
33.17,3317,4,NA,NA
33.19,3319,4,NA,NA
33.2,332,4,NA,NA
NA,3320,NA,NA,NA
35.3,353,4,NA,NA
NA,3530,NA,NA,NA
36,36,4,NA,NA
NA,3600,NA,NA,NA
37,37,4,NA,NA
NA,3700,NA,NA,NA
38,38,2,NA,NA
38.1,381,3,NA,NA
38.11,3811,4,NA,NA
38.12,3812,4,NA,NA
38.2,382,3,NA,NA
38.21,3821,4,NA,NA
38.22,3822,4,NA,NA
38.3,383,3,NA,NA
38.31,3831,4,NA,NA
38.32,3832,4,NA,NA
39,39,4,NA,NA
NA,3900,NA,NA,NA
41,41,2,NA,NA
41.1,411,4,NA,NA
NA,4110,NA,NA,NA
41.2,412,3,NA,NA
NA,4120,NA,NA,NA
42,42,2,NA,NA
42.1,421,3,NA,NA
42.11,4211,4,NA,NA
42.12,4212,4,NA,NA
42.13,4213,4,NA,NA
42.2,422,3,NA,NA
42.21,4221,4,NA,NA
42.22,4222,4,NA,NA
42.9,429,3,NA,NA
42.91,4291,4,NA,NA
42.99,4299,4,NA,NA
43,43,2,NA,NA
43.1,431,3,NA,NA
43.11,4311,4,NA,NA
43.12,4312,4,NA,NA
